Codigo_Familia	Familia	Grau	Categoria	Modalidade	Genero
111	SAPATILHAS FUTEBOL HOMEM	3	Calcado	Futebol	Homem
113	SAPATILHAS FUTEBOL JUNIOR	3	Calcado	Futebol	Junior
115	SAPATILHAS FUTSAL HOMEM	3	Calcado	Futsal	Homem
116	SAPATILHAS FUTSAL SENHORA	3	Calcado	Futsal	Senhora
117	SAPATILHAS FUTSAL JUNIOR	3	Calcado	Futsal	Junior
121	SAPATILHAS TÉNIS-PADEL HOMEM	3	Calcado	Ténis	Homem
122	SAPATILHAS TÉNIS-PADEL SENHORA	3	Calcado	Ténis	Senhora
123	SAPATILHAS TÉNIS-PADEL JUNIOR	3	Calcado	Ténis	Junior
124	SAPATILHAS SKATE HOMEM	3	Calcado	Skate	Homem
125	SAPATILHAS SKATE SENHORA	3	Calcado	Skate	Senhora
126	SAPATILHAS SKATE JUNIOR	3	Calcado	Skate	Junior
127	SAPATILHAS BICICLETA	3	Calcado	Ciclismo	
131	SAPATILHAS ATLETISMO HOMEM	3	Calcado	Atletismo	Homem
132	SAPATILHAS ATLETISMO SENHORA	3	Calcado	Atletismo	Senhora
133	SAPATILHAS ATLETISMO JUNIOR	3	Calcado	Atletismo	Junior
141	SAPATILHAS BASQUETEBOL HOMEM	3	Calcado	Basquetebol	Homem
143	SAPATILHAS BASQUETEBOL JUNIOR	3	Calcado	Basquetebol	Junior
145	SAPATILHAS ANDEBOL HOMEM	3	Calcado	Andebol	Homem
146	SAPATILHAS ANDEBOL SENHORA	3	Calcado	Andebol	Senhora
147	SAPATILHAS ANDEBOL JUNIOR	3	Calcado	Andebol	Junior
148	SAPATILHAS PAVILHÃO/VOLLEY	3	Calcado	Volley	
151	SAPATILHAS GINÁSIO	3	Calcado	Ginásio	
153	SAPATILHAS DANÇA	3	Calcado	Ballet	
154	SAPATILHAS YOGA	3	Calcado	Ginástica	
155	SABRINAS	3	Calcado		
161	SAPATILHAS LAZER HOMEM	3	Calcado	Lazer	Homem
162	SAPATILHAS LAZER SENHORA	3	Calcado	Lazer	Senhora
163	SAPATILHAS LAZER JUNIOR	3	Calcado	Lazer	Junior
164	SAPATILHAS LAZER BEBE	3	Calcado	Lazer	Bebe
171	SAPATOS VELA	3	Calcado		
172	SAPATOS LAZER	3	Calcado	Lazer	
173	BOTAS LAZER	3	Calcado	Lazer	
175	SAPATOS OUTDOOR/MONTANHA	3	Calcado	Montanha	
176	BOTAS OUTDOOR/MONTANHA	3	Calcado	Montanha	
181	SANDALIAS HOMEM	3	Calcado		Homem
182	SANDALIAS SENHORA	3	Calcado		Senhora
183	SANDALIAS JUNIOR	3	Calcado		Junior
184	SANDALIAS BEBÉ	3	Calcado		Bebe
185	CHINELOS HOMEM	3	Calcado		Homem
186	CHINELOS SENHORA	3	Calcado		Senhora
187	CHINELOS JUNIOR	3	Calcado		Junior
191	SLIP-ON HOMEM	3	Calcado		Homem
192	SLIP-ON SENHORA	3	Calcado		Senhora
193	SLIP-ON JUNIOR	3	Calcado		Junior
196	LONAS HOMEM	3	Calcado		Homem
197	LONAS SENHORA	3	Calcado		Senhora
198	LONAS JUNIOR	3	Calcado		Junior
199	LONAS BEBÉ	3	Calcado		Bebe
311	FT HOMEM	3	Textil		Homem
312	FT SENHORA	3	Textil		Senhora
313	FT RAPAZ	3	Textil		Rapaz
314	FT RAPARIGA	3	Textil		Rapariga
315	FT BEBÉ	3	Textil		Bebe
321	CALÇÕES/SHORTS BANHO	3	Textil		
322	CALÇÕES PASSEIO	3	Textil	Passeio	
323	CALÇÕES ATLÉTISMO	3	Textil	Atletismo	
324	CALÇÕES CICLISMO	3	Textil	Ciclismo	
325	CALÇÕES TREINO/GINÁSTICA	3	Textil	Ginástica	
326	CALÇÕES DE FUTEBOL	3	Textil	Futebol	
327	CALÇÕES DE BASQUETEBOL	3	Textil	Basquetebol	
328	CALÇÕES TÉNIS	3	Textil	Ténis	
331	T-S HOMEM	3	Textil		Homem
332	T-S SENHORA	3	Textil		Senhora
333	T-S RAPAZ	3	Textil		Rapaz
334	T-S RAPARIGA	3	Textil		Rapariga
335	T-S BEBÉ	3	Textil		Bebe
336	T-S ATLETISMO	3	Textil	Atletismo	
337	T-S BASQUETEBOL	3	Textil	Basquetebol	
338	T-S / TOP TÉNIS	3	Textil	Ténis	
341	SWEATS HOMEM	3	Textil		Homem
342	SWEATS SENHORA	3	Textil		Senhora
343	SWEATS RAPAZ	3	Textil		Rapaz
344	SWEATS RAPARIGA	3	Textil		Rapariga
345	SWEATS BEBÉ	3	Textil		Bebe
351	CALÇAS HOMEM	3	Textil		Homem
352	CALÇAS SENHORA	3	Textil		Senhora
353	CALÇAS RAPAZ	3	Textil		Rapaz
354	CALÇAS RAPARIGA	3	Textil		Rapariga
355	CALÇAS BEBÉ	3	Textil		Bebe
357	BERMUDAS - LEGGINGS	3	Textil		
359	VESTIDOS/SAIAS	3	Textil		
361	FATOS DE BANHO HOMEM	3	Textil		Homem
362	FATOS DE BANHO SENHORA	3	Textil		Senhora
363	FATOS DE BANHO RAPAZ	3	Textil		Rapaz
364	FATOS DE BANHO RAPARIGA	3	Textil		Rapariga
365	BIKINIS PRAIA / PISCINA	3	Textil		
366	FATOS BANHO BEBÉ	3	Textil		Bebe
371	BLUSÕES/CASACOS HOMEM	3	Textil		Homem
372	BLUSÕES/CASACOS SENHORA	3	Textil		Senhora
373	BLUSÕES/CASACOS RAPAZ	3	Textil		Rapaz
374	BLUSÕES/CASACOS RAPARIGA	3	Textil		Rapariga
375	BLUSÕES/CASACOS BEBÉ	3	Textil		Bebe
381	POLOS HOMEM	3	Textil		Homem
382	POLOS SENHORA	3	Textil		Senhora
383	POLOS RAPAZ	3	Textil		Rapaz
384	POLOS RAPARIGA	3	Textil		Rapariga
391	CAMISAS HOMEM	3	Textil		Homem
392	CAMISAS SENHORA	3	Textil		Senhora
393	CAMISAS RAPAZ	3	Textil		Rapaz
394	CAMISA RAPARIGA	3	Textil		Rapariga
395	CAMISOLAS/MALHAS HOMEM	3	Textil		Homem
396	CAMISOLAS/MALHAS SENHORA	3	Textil		Senhora
397	CAMISOLAS/MALHAS RAPAZ	3	Textil		Rapaz
398	CAMISOLAS/MALHAS RAPARIGA	3	Textil		Rapariga
399	CAMISOLAS/MALHAS BEBÉ	3	Textil		Bebe
611	MEIAS HOMEM	3	AcessoriosTextil		
612	MEIAS SENHORA	3	AcessoriosTextil		
613	MEIAS JUNIOR	3	AcessoriosTextil		
614	MEIAS BEBÉ	3	AcessoriosTextil		
621	BONÉS/GORROS HOMEM	3	AcessoriosTextil		
622	BONÉS/GORROS SENHORA	3	AcessoriosTextil		
623	BONÉS/GORROS RAPAZ	3	AcessoriosTextil		
624	BONÉS/GORROS RAPARIGA	3	AcessoriosTextil		
625	BONÉS/GORROS BEBÉ	3	AcessoriosTextil		
631	CACHECOL HOMEM	3	AcessoriosTextil		
632	CACHECOL SENHORA	3	AcessoriosTextil		
633	CACHECOL RAPAZ	3	AcessoriosTextil		
634	CACHECOL RAPARIGA	3	AcessoriosTextil		
635	CACHECOL UNISEXO	3	AcessoriosTextil		
641	TOALHAS HOMEM	3	AcessoriosTextil		
642	TOALHAS SENHORA	3	AcessoriosTextil		
643	TOALHAS JUNIOR	3	AcessoriosTextil		
651	LUVAS HOMEM	3	AcessoriosTextil		
652	LUVAS SENHORA	3	AcessoriosTextil		
653	LUVAS RAPAZ	3	AcessoriosTextil		
654	LUVAS RAPARIGA	3	AcessoriosTextil		
655	LUVAS BEBÉ	3	AcessoriosTextil		
656	LUVAS UNISEXO	3	AcessoriosTextil		
661	LINGERIE HOMEM	3	AcessoriosTextil		
662	LINGERIE SENHORA	3	AcessoriosTextil		
663	LINGERIE RAPAZ	3	AcessoriosTextil		
671	BODY BALLET	3	AcessoriosTextil	Ballet	
672	SAIA BALLET	3	AcessoriosTextil	Ballet	
673	COLLANTS BALLET	3	AcessoriosTextil	Ballet	
674	SABRINA BALLET	3	AcessoriosTextil	Ballet	
675	PERNEIRA BALLET	3	AcessoriosTextil	Ballet	
676	CASACO BALLET	3	AcessoriosTextil	Ballet	
711	CAMISOLAS BENFICA	3	Clubes		
712	CALÇÕES BENFICA	3	Clubes		
713	KITS BENFICA	3	Clubes		
714	SACOS/MOCHILAS BENFICA	3	Clubes		
715	BOLAS BENFICA	3	Clubes		
716	MEIAS BENFICA	3	Clubes		
717	TEXTIL BENFICA	3	Clubes		
718	BONÉS/GORROS/CACHECOL BENFICA	3	Clubes		
719	RESTANTES ACESSÓRIOS BENFICA	3	Clubes		
721	CAMISOLAS SPORTING	3	Clubes		
722	CALÇÕES SPORTING	3	Clubes		
723	KITS SPORTING	3	Clubes		
724	SACOS/MOCHILAS SPORTING	3	Clubes		
725	BOLAS SPORTING	3	Clubes		
726	MEIAS SPORTING	3	Clubes		
727	TEXTIL SPORTING	3	Clubes		
728	BONÉS/GORROS/CACHECOL SPORTING	3	Clubes		
729	RESTANTES ACESSÓRIOS SPORTING	3	Clubes		
731	CAMISOLAS PORTO	3	Clubes		
732	CALÇÕES PORTO	3	Clubes		
733	KITS PORTO	3	Clubes		
734	SACOS/MOCHILAS PORTO	3	Clubes		
735	BOLAS PORTO	3	Clubes		
736	MEIAS PORTO	3	Clubes		
737	TEXTIL PORTO	3	Clubes		
738	BONÉS/GORROS/CACHECOL PORTO	3	Clubes		
739	RESTANTES ACESSÓRIOS PORTO	3	Clubes		
741	CAMISOLAS PORTUGAL	3	Clubes		
742	CALÇÕES PORTUGAL	3	Clubes		
743	KITS PORTUGAL	3	Clubes		
745	BOLAS PORTUGAL	3	Clubes		
746	MEIAS PORTUGAL	3	Clubes		
747	TEXTIL PORTUGAL	3	Clubes		
748	BONÉS/GORROS/CACHECOL PORTUGAL	3	Clubes		
749	RESTANTES ACESSÓRIOS PORTUGAL	3	Clubes		
751	CAMISOLAS	3	Clubes		
752	CALÇÕES	3	Clubes		
758	BONÉS/GORROS/CACHECOL	3	Clubes		
811	BOLAS	3	AcessoriosDiversos		
821	SACOS	3	AcessoriosDiversos		
822	MOCHILAS	3	AcessoriosDiversos		
823	BOLSAS/MALAS	3	AcessoriosDiversos		
824	SAPATEIRAS	3	AcessoriosDiversos		
825	BOLSAS DIVERSAS	3	AcessoriosDiversos		
831	CARTEIRAS	3	AcessoriosDiversos		
832	CHAVEIROS	3	AcessoriosDiversos		
833	PORTA-MOEDAS	3	AcessoriosDiversos		
834	CINTOS	3	AcessoriosDiversos		
839	OUTROS ACESSÓRIOS	3	AcessoriosDiversos		
841	RELOGIO HOMEM	3	AcessoriosDiversos		
842	RELOGIO SENHORA	3	AcessoriosDiversos		
843	RELOGIO JUNIOR/UNISEXO	3	AcessoriosDiversos		
848	OCULOS ESCUROS	3	AcessoriosDiversos		
851	CINTOS JUDO	3	AcessoriosDiversos		
861	CANELEIRAS HOMEM	3	AcessoriosDiversos		
862	CANELEIRAS RAPAZ	3	AcessoriosDiversos		
863	JOELHEIRAS	3	AcessoriosDiversos		
864	PÉS	3	AcessoriosDiversos		
865	PULSOS	3	AcessoriosDiversos		
866	FITAS	3	AcessoriosDiversos		
867	BRAÇADEIRAS	3	AcessoriosDiversos		
868	LUVAS ESPECIFICAS	3	AcessoriosDiversos		
869	OUTRAS PROTECÇÕES	3	AcessoriosDiversos		
871	TOUCAS NATAÇÃO	3	AcessoriosDiversos	Natação	
872	OCULOS NATAÇÃO	3	AcessoriosDiversos	Natação	
873	BRAÇADEIRAS	3	AcessoriosDiversos		
879	OUTROS ACESSORIOS NATAÇÃO	3	AcessoriosDiversos	Natação	
881	RAQUETES PING-PONG	3	AcessoriosDiversos	Ping-pong	
882	RAQUETES TENIS	3	AcessoriosDiversos	Ténis	
883	RAQUETES BADMINTON	3	AcessoriosDiversos	Badminton	
884	RAQUETES SQUASH	3	AcessoriosDiversos	Squash	
885	RAQUETES PADEL	3	AcessoriosDiversos	Ténis	
891	ACESSORIOS FUTEBOL	3	AcessoriosDiversos	Futebol	
892	ACESSÓRIOS GINÁSTICA	3	AcessoriosDiversos	Ginástica	
893	ACESSÓRIOS BASQUETEBOL	3	AcessoriosDiversos	Basquetebol	
894	ACESSÓRIOS TREINO TÉRMICOS	3	AcessoriosDiversos	Treino	
895	PATINS/SKATES	3	AcessoriosDiversos	Skate	
898	JOGOS DE DARDOS	3	AcessoriosDiversos		
899	ACESSÓRIOS DIVERSOS	3	AcessoriosDiversos		
911	Camisolas	3	Equipamentos		
912	Calções	3	Equipamentos		
913	Conjuntos (Camisola+Calção)	3	Equipamentos		
914	Basquetebol	3	Equipamentos	Basquetebol	
921	Camisolas GR	3	Equipamentos		
922	Calções/Calças GR	3	Equipamentos		
923	Conjuntos GR	3	Equipamentos		
931	FT Acetato	3	Equipamentos		
932	FT Microfibra	3	Equipamentos		
981	Camisolas Arbitro	3	Equipamentos		
982	Calções Arbitro	3	Equipamentos		
983	Bandeiras Arbitro auxiliar	3	Equipamentos		
991	Bolas Pilates/Yoga	3	Equipamentos	Ginástica	
992	Sacos Bolas	3	Equipamentos		
993	Mochilas	3	Equipamentos		
994	Caneleiras	3	Equipamentos		
995	Cestos Plástico	3	Equipamentos		
996	Cones - Pinos - Marcos	3	Equipamentos		
997	Escadas treino velocidade	3	Equipamentos	Treino	
998	Cestos com Garrafas de Agua	3	Equipamentos		
999	Coletes	3	Equipamentos		
1111	Chuteiras Futebol Homem Pelado HG	4	Calcado		
1112	Chuteiras Futebol Homem Relvado FG	4	Calcado		
1113	Chuteiras Futebol Homem MultiGround MG	4	Calcado		
1114	Chuteiras Futebol Homem Relva Artificial AG	4	Calcado		
1115	Chuteiras Futebol Homem piton Misto FG/AG	4	Calcado		
1117	Sapatilhas Futebol Homem Turf	4	Calcado		
1131	Chuteiras Futebol Junior Pelado HG	4	Calcado		
1132	Chuteiras Futebol Junior Relvado FG	4	Calcado		
1133	Chuteiras Futebol Junior Multiground MG	4	Calcado		
1134	Chuteiras Futebol Junior Relva Artificial AG	4	Calcado		
1135	Chuteiras Futebol Junior piton Misto FG/AG	4	Calcado		
1137	Sapatilhas Futebol Junior Turf	4	Calcado		
1151	Sapatilhas Futsal Homem Atacador	4	Calcado		
1152	Sapatilhas Futsal Homem Elástico	4	Calcado		
1153	Sapatilhas Futsal Homem Velcro	4	Calcado		
1161	Sapatilhas Futsal Senhora Atacador	4	Calcado		
1171	Sapatilhas Futsal Junior Atacador	4	Calcado		
1172	Sapatilhas Futsal Junior Elástico	4	Calcado		
1173	Sapatilhas Futsal Junior Velcro	4	Calcado		
1211	Sapatilhas Ténis-Padel Homem Atacador	4	Calcado		
1221	Sapatilhas Ténis-Padel Senhora Atacador	4	Calcado		
1231	Sapatilhas Ténis-Padel Junior Atacador	4	Calcado		
1241	Sapatilhas Skate Homem Atacador	4	Calcado		
1251	Sapatilhas Skate Senhora Atacador	4	Calcado		
1261	Sapatilhas Skate Junior Atacador	4	Calcado		
1262	Sapatilhas Skate Junior Elastico	4	Calcado		
1271	Sapatilhas Bicicleta/BTT/Indoor Cycling	4	Calcado		
1311	Sapatilhas Atletismo Homem Treino	4	Calcado		
1312	Sapatilhas Atletismo Homem Competição	4	Calcado		
1313	Sapatilhas Atletismo Homem Pista (Bicos)	4	Calcado		
1314	Sapatilhas Andamento Homem (Walking)	4	Calcado		
1315	Sapatilhas Atletismo Salto em Altura (Unisexo)	4	Calcado		
1316	Sapatilhas Atletismo Lançamento do Disco (Unisexo)	4	Calcado		
1317	Sapatilhas Atletismo Homem Trail	4	Calcado		
1321	Sapatilhas Atletismo Senhora Treino	4	Calcado		
1322	Sapatilhas Atletismo Senhora Competição	4	Calcado		
1323	Sapatilhas Atletismo Senhora Pista (Bicos)	4	Calcado		
1324	Sapatilhas Andamento Senhora (Walking)	4	Calcado		
1327	Sapatilhas Atletismo Senhora Trail	4	Calcado		
1331	Sapatilhas Atletismo Junior Treino	4	Calcado		
1332	Sapatilhas Atletismo Junior Competição	4	Calcado		
1333	Sapatilhas Atletismo Junior Pista (Bicos)	4	Calcado		
1334	Sapatilhas Andamento Junior (Walking)	4	Calcado		
1337	Sapatilhas Atletismo Junior Trail	4	Calcado		
1411	Sapatilhas Basquetebol Homem Altas	4	Calcado		
1412	Sapatilhas Basquetebol Homem Baixas	4	Calcado		
1431	Sapatilhas Basquetebol Junior Altas	4	Calcado		
1432	Sapatilhas Basquetebol Junior Baixas	4	Calcado		
1451	Sapatilhas Andebol Homem Atacador	4	Calcado		
1461	Sapatilhas Andebol Senhora Atacador	4	Calcado		
1471	Sapatilhas Andebol Junior Atacador	4	Calcado		
1472	Sapatilhas Andebol Junior Velcro	4	Calcado		
1481	Sapatilhas Pavilhão Homem	4	Calcado		
1482	Sapatilhas Pavilhão Senhora	4	Calcado		
1483	Sapatilhas Pavilhão Junior	4	Calcado		
1511	Sapatilhas Ginásio/Treino Homem	4	Calcado		
1512	Sapatilhas Ginásio/Treino Senhora	4	Calcado		
1513	Sapatilhas Ginásio/Treino Junior	4	Calcado		
1531	Sapatilhas Dança Homem	4	Calcado		
1532	Sapatilhas Dança Senhora	4	Calcado		
1533	Sapatilhas Dança Junior	4	Calcado		
1541	Sapatilhas Yoga Homem	4	Calcado		
1542	Sapatilhas Yoga Senhora	4	Calcado		
1543	Sapatilhas Yoga Junior	4	Calcado		
1551	Sabrinas Ginástica	4	Calcado		
1611	Sapatilhas Lazer Homem Atacador	4	Calcado		
1612	Sapatilhas Lazer Homem Velcro	4	Calcado		
1613	Sapatilhas Lazer Homem Elastico	4	Calcado		
1614	Sapatilhas Lazer Homem Fecho	4	Calcado		
1615	Sapatilhas Lazer Homem de Enfiar	4	Calcado		
1621	Sapatilhas Lazer Senhora Atacador	4	Calcado		
1622	Sapatilhas Lazer Senhora Velcro	4	Calcado		
1623	Sapatilhas Lazer Senhora Elastico	4	Calcado		
1624	Sapatilhas Lazer Senhora Fecho	4	Calcado		
1625	Sapatilhas Lazer Senhora de Enfiar	4	Calcado		
1631	Sapatilhas Lazer Junior Atacador	4	Calcado		
1632	Sapatilhas Lazer Junior Velcro	4	Calcado		
1633	Sapatilhas Lazer Junior Elastico	4	Calcado		
1634	Sapatilhas Lazer Junior Fecho	4	Calcado		
1641	Sapatilhas Lazer Bebé Atacador	4	Calcado		
1642	Sapatilhas Lazer Bebé Velcro	4	Calcado		
1643	Sapatilhas Lazer Bebé Elastico	4	Calcado		
1644	Sapatilhas Lazer Bebé Fecho	4	Calcado		
1711	Sapatos Vela Homem	4	Calcado		
1712	Sapatos Vela Senhora	4	Calcado		
1713	Sapatos Vela Junior	4	Calcado		
1721	Sapatos Lazer Homem	4	Calcado		
1722	Sapatos Lazer Senhora	4	Calcado		
1723	Sapatos Lazer Junior	4	Calcado		
1731	Botas Lazer Homem	4	Calcado		
1732	Botas Lazer Senhora	4	Calcado		
1733	Botas Lazer Junior	4	Calcado		
1734	Botas Lazer Bebé	4	Calcado		
1751	Sapatos Outdoor/Montanha Homem	4	Calcado		
1752	Sapatos Outdoor/Montanha Senhora	4	Calcado		
1753	Sapatos Outdoor/Montanha Junior	4	Calcado		
1761	Botas Outdoor/Montanha Homem	4	Calcado		
1762	Botas Outdoor/Montanha Senhora	4	Calcado		
1763	Botas Outdoor/Montanha Junior	4	Calcado		
1811	Sandálias Homem	4	Calcado		
1821	Sandálias Senhora	4	Calcado		
1831	Sandálias Junior	4	Calcado		
1841	Sandálias Bebé	4	Calcado		
1851	Chinelos Homem Enfiar	4	Calcado		
1852	Chinelos Homem Dedo	4	Calcado		
1853	Chinelos Homem Velcro	4	Calcado		
1854	Sapatos Homem HidroGinástica	4	Calcado		
1861	Chinelos Senhora Enfiar	4	Calcado		
1862	Chinelos Senhora Dedo	4	Calcado		
1863	Chinelos Senhora Velcro	4	Calcado		
1864	Sapatos Senhora HidroGinástica	4	Calcado		
1871	Chinelos Junior Enfiar	4	Calcado		
1872	Chinelos Junior Dedo	4	Calcado		
1873	Chinelos Junior Velcro	4	Calcado		
1874	Sapatos Junior HidroGinástica	4	Calcado		
1911	Slip-On Homem Lisas	4	Calcado		
1912	Slip-On Homem Estampadas	4	Calcado		
1921	Slip-On Senhora Lisas	4	Calcado		
1922	Slip-On Senhora Estampadas	4	Calcado		
1931	Slip-On Junior Lisas	4	Calcado		
1932	Slip-On Junior Estampadas	4	Calcado		
1961	Lonas Homem Atacador	4	Calcado		
1971	Lonas Senhora Atacador	4	Calcado		
1981	Lonas Junior Atacador	4	Calcado		
1982	Lonas Junior Velcro	4	Calcado		
1983	Lonas Junior Elástico	4	Calcado		
1991	Lonas Bebé Atacador	4	Calcado		
1992	Lonas Bebé Velcro	4	Calcado		
1993	Lonas Bebé Elástico	4	Calcado		
3111	FT Homem Algodão	4	Textil		
3112	FT Homem Acetato	4	Textil		
3113	FT Homem Pele Pessego	4	Textil		
3114	FT Homem Micro-Fibra	4	Textil		
3115	FT Homem Poliester	4	Textil		
3121	FT Senhora Algodão	4	Textil		
3122	FT Senhora Acetato	4	Textil		
3123	FT Senhora Pele Pessego	4	Textil		
3124	FT Senhora MicroFibra	4	Textil		
3125	FT Senhora Poliester	4	Textil		
3126	FT Senhora Algodão-Lycra	4	Textil		
3131	FT Rapaz Algodão	4	Textil		
3132	FT Rapaz Acetato	4	Textil		
3133	FT Rapaz Pele Pessego	4	Textil		
3134	FT Rapaz Microfibra	4	Textil		
3135	FT Rapaz Poliester	4	Textil		
3141	FT Rapariga Algodão	4	Textil		
